#             t (s)            x (pxl)            y (pxl)                  f                  n        x_err (pxl)        y_err (pxl)              f_err
              -3.51                nan                nan                nan                nan                nan                nan                nan
             -3.159                nan                nan                nan                nan                nan                nan                nan
             -2.808                nan                nan                nan                nan                nan                nan                nan
             -2.457                nan                nan                nan                nan                nan                nan                nan
             -2.106    -0.350203403195     -1.07669594938     0.264367090128                1.0                0.0                0.0                0.0
             -1.755     -0.37110747372     -1.00958723141     0.308849445129                1.0                0.0                0.0                0.0
             -1.404    0.0866978757458    -0.663401034595     0.153846338676                2.0     0.361965716064     0.409326364243     0.161285811273
             -1.053    0.0926849494441    -0.564383130968     0.200494912882                2.0     0.460812548423     0.415444757448      0.14379377373
             -0.702    -0.391927532356     -1.00526511764     0.380659437726                1.0                0.0                0.0                0.0
             -0.351    0.0310981057196    -0.498806104212     0.193277430662                2.0     0.365224715598     0.483789968824     0.168090799669
                0.0   -0.0588165619521    -0.906017139411    0.0593767791823                3.0     0.341886086598     0.156496426316    0.0240089670316
              0.351    -0.121436316228    -0.473769304036    0.0658733560422                4.0     0.120022725569     0.269510399293    0.0307625341998
              0.702    -0.138092515428    -0.737732755407     0.114193126576                4.0     0.147938621807     0.128708997614    0.0184163262264
              1.053    0.0981886348761     -0.76885149784     0.126213039197                4.0     0.153304928561     0.123744536311    0.0335381304041
              1.404    -0.023152287255    -0.574772256897     0.128805721765                5.0      0.20368790238     0.173750185208    0.0373642292703
              1.755   -0.0560871736146    -0.452423355605     0.173491672031                5.0      0.19864877647     0.093000229741    0.0318644158418
              2.106    -0.127444714657    -0.560662992143     0.168540449363                5.0    0.0849673271564     0.165284828386    0.0237324247251
              2.457    -0.140780700272    -0.487488321792     0.200900008758                5.0    0.0907673672091     0.247755443439    0.0178850180181
              2.808   -0.0104982163564    -0.383570384778     0.192176807463                5.0     0.103883119802    0.0657365233825    0.0191866554519
              3.159    -0.128541452694    -0.421129630807     0.270632240464                5.0    0.0823543594293     0.240862357394    0.0435442124628
               3.51    -0.140581986296    -0.365962559773      0.31314456895                5.0    0.0868600196733      0.17789134993    0.0665565271555
              3.861    -0.143488893688    -0.239297081451     0.289665453742                6.0    0.0817116644007     0.165958597195    0.0788931706972
              4.212   -0.0967603436384    -0.162472638829     0.303605272871                6.0    0.0925374045732     0.118447038462    0.0513150077894
              4.563    -0.197982429671   -0.0353022299129     0.352814270459                6.0     0.063373321013     0.125531554041    0.0982554416731
              4.914  -0.00741549296192   -0.0804705073972      0.42683386008                7.0     0.108742131674     0.154500325632     0.110594826517
              5.265    -0.115618234904   0.00475858658709     0.487682261318                8.0     0.127629749902     0.134611451368    0.0764966947169
              5.616    -0.129172865423    -0.094966673688     0.528056942482                8.0     0.126935628061     0.172453018002    0.0655490600457
              5.967     -0.15633140583     0.089656813106     0.483256567088                8.0     0.098548238253    0.0933706802783    0.0694134459155
              6.318    -0.138004122361     0.020894151951     0.483403803483                8.0     0.128441191477     0.108240240126    0.0654686199423
              6.669    -0.171655358969    0.0792548748785       0.4715430552                8.0    0.0724871052345     0.103542742825    0.0497255594602
               7.02     -0.19497065571     0.137551236428     0.462141189721                8.0    0.0345239690405    0.0775363461841     0.071755091841
              7.371    -0.150565929925     0.130832687853     0.463993703872                8.0    0.0445379685396    0.0601217098748    0.0533364343599
              7.722    -0.160760820042    0.0680143536535     0.512081571318                8.0    0.0773164966341       0.1081122209    0.0405126500265
              8.073   -0.0846111083526     0.008425467925       0.5465130302                8.0    0.0591973344495    0.0764754841884    0.0571699176675
              8.424    -0.138097947744    0.0209319748385     0.528516075372                8.0    0.0327738177871    0.0429364826533    0.0383583064883
              8.775   -0.0992470174398    0.0178578480119     0.573185094499                9.0      0.03415949967    0.0847089016375    0.0734964220809
              9.126   -0.0739849218112   0.00565406165548      0.57761712318                8.0    0.0572410223559      0.11004249418    0.0778082177813
              9.477    -0.116725036875    0.0198285356901     0.490455689306               10.0    0.0456864478256    0.0924831414029    0.0455208870143
              9.828    -0.103319741078   -0.0613899671056     0.543038466671               10.0    0.0315583971524    0.0640207236042    0.0620455682168
             10.179   -0.0715482980495   -0.0662542048663     0.543104336165               10.0    0.0378830429198    0.0802158280611    0.0584458657635
              10.53   -0.0437444136759    0.0049493911546     0.556556037625               10.0    0.0334160531686    0.0715091285522    0.0423908198566
             10.881   -0.0654520459484   -0.0218383519148     0.572613755808               10.0    0.0405914334277    0.0749878197295    0.0707419344254
             11.232   -0.0502477722485   -0.0232847169983     0.532223320057               10.0    0.0294585903063    0.0660572160868    0.0491678560573
             11.583    -0.094269596914    0.0821431656555     0.591898371246               11.0      0.02660104017    0.0579041565471    0.0601267547588
             11.934   -0.0986405041683     0.116615092182     0.617480670632               11.0    0.0391333313632    0.0847678675558    0.0658499281522
             12.285   -0.0499662631684   0.00867801205323      0.65276211107               10.0    0.0445501241955      0.11009961141    0.0752221366758
             12.636   -0.0595132529066    0.0849216593977      0.69214615453               11.0    0.0435786327358    0.0739708474123    0.0540633196251
             12.987   -0.0693711060658    0.0417186416067     0.697479710797               11.0    0.0381097360963     0.068737254125    0.0238264336038
             13.338   -0.0899014246988     0.102867590971     0.676516243609               11.0    0.0352482430274    0.0823246480295    0.0594508437506
             13.689   -0.0705597641064    0.0296109670222     0.693300333002               11.0    0.0632021878684     0.103144070924    0.0518963274661
              14.04   -0.0815708878332     0.121921409564     0.720194137094               12.0    0.0503710651672     0.086314246699    0.0541633416566
             14.391   -0.0578393796857    0.0943668863501     0.719680255473               12.0      0.05274427115    0.0778425251499    0.0384719039257
             14.742   -0.0949850913311    0.0843448698829     0.731601484705               13.0    0.0502602572881    0.0557885146144    0.0389376487292
             15.093    -0.055073765179    0.0339309885926     0.745970790179               14.0    0.0337598077998    0.0431729976922    0.0408274806229
             15.444   -0.0849353599267     0.103220113663     0.742274198661               13.0     0.043285143859    0.0409009968168    0.0385632143871
             15.795   -0.0870202375224   -0.0204288535303     0.794065933561               16.0    0.0455177876855    0.0563082675142    0.0238332600296
             16.146   -0.0612342261895   -0.0631761309495     0.790629151235               15.0    0.0526801932459     0.049954165521    0.0357589407772
             16.497    -0.137214419348   -0.0691172000797     0.841616939764               17.0    0.0419173073605    0.0693655908705    0.0223829653545
             16.848   -0.0690935770173   -0.0531475768447     0.862697123623               17.0    0.0571125857693     0.058946522532    0.0272971266526
             17.199    -0.112469364435    -0.131391836824     0.851740205713               17.0    0.0569139540081    0.0515491336409    0.0320720185733
              17.55   -0.0317671406961    -0.103530754257     0.801540239569               17.0    0.0457378007823    0.0450628874726    0.0325917898893
             17.901    0.0324928248592   -0.0261373664657     0.853760637404               18.0    0.0527409002867     0.051296362656    0.0337546500339
             18.252    0.0275298522787   -0.0597140906681     0.845374656173               18.0    0.0623673466645    0.0448789729992    0.0307452501417
             18.603    0.0499498307191   -0.0679792028437     0.879154146975               19.0    0.0551510051988    0.0593813090866    0.0331377920833
             18.954    0.0348880432325   -0.0343551627221     0.892314573958               19.0    0.0690822510614    0.0564544172767    0.0141924645984
             19.305     0.153002925384   -0.0165768308771     0.833074877986               19.0    0.0734808021173    0.0438852855389    0.0295193391372
             19.656     0.170115737907    0.0498522563961     0.855909123486               19.0    0.0727146069847    0.0442144535256    0.0311470248092
             20.007     0.399807905209    -0.021902079373     0.876686791858               18.0    0.0824134997279    0.0442438369312    0.0186834160031
             20.358     0.419018486666    0.0623693158046     0.841442031133               19.0     0.065515740688     0.044958707952    0.0179746594102
             20.709     0.528849334767    0.0872840405397     0.827634270701               19.0    0.0751225520746    0.0464189445342    0.0154121605014
              21.06     0.543663546427    -0.011010116024     0.777587506483               18.0    0.0815815878406    0.0442220998716    0.0369416843709
             21.411     0.575990314691   -0.0421252655108     0.762609634842               19.0    0.0774485483088    0.0569991458376    0.0311227521736
             21.762     0.723548936471   -0.0257898987451      0.75531523411               19.0    0.0799773623221    0.0495989417697    0.0487615968856
             22.113     0.812968798771   -0.0468349124995     0.760749293205               19.0    0.0769452711174     0.060277473784    0.0259339412814
             22.464     0.820047519473   -0.0303059082069     0.730832163151               19.0    0.0903174035528    0.0596186185226    0.0286354773605
             22.815     0.853384222653    0.0559825545354     0.726517816097               18.0    0.0544954573754    0.0556699353807    0.0274038245167
             23.166     0.893121132135     0.039249661515     0.680870652485               19.0    0.0803080262936    0.0482626514331    0.0336800313549
             23.517     0.984153086889    0.0257242224073     0.670953410861               18.0    0.0818014630924    0.0639976145018    0.0455092606764
             23.868       1.0487079212    0.0450461657026     0.647593917121               18.0    0.0983992268758    0.0775193167913    0.0439943058487
             24.219      1.09369626518    0.0404633344461     0.646233371373               19.0     0.121108228396    0.0529222756653    0.0780370260199
              24.57     0.956023154147    0.0336224598243     0.594055310471               18.0     0.152135946466     0.072741388588    0.0849215643664
             24.921     0.988725174487     0.149410280016     0.551245599293               18.0     0.152291084914    0.0656053049534    0.0730803438176
             25.272      1.01518397095      0.16820342526     0.455931019169               18.0     0.138625631481    0.0801356188713    0.0766618845484
             25.623     0.824918870615     0.202104800015     0.464421047253               17.0     0.151330747971     0.112914822769    0.0599619276029
             25.974      1.00852344984     0.198534881756     0.382997214398               17.0     0.102398486535     0.095221808735    0.0820358183379
             26.325     0.699370694385     0.337080714681     0.308712567733               17.0     0.126985683538     0.103114254138    0.0846251075005
             26.676     0.659294114764     0.204276354078     0.369262740429               13.0       0.1264958667     0.180294437642    0.0892144859721
             27.027     0.757254846155     0.187180471491     0.343068071382               15.0     0.202759215798     0.124795172286    0.0603341267212
             27.378     0.642823124801    0.0814947678774     0.340654364288               15.0     0.155032281379     0.107914769738     0.078874717009
             27.729      0.62380847183     -0.02463439377     0.305977077442               15.0     0.181909445008     0.105937698656    0.0829398009538
              28.08     0.865178440906    -0.102364275545     0.274707140281               11.0     0.259248457927     0.182902153414    0.0288947381652
             28.431     0.615200357297   0.00417203009337     0.279543737175               11.0     0.262796162257     0.135371899897     0.039574384526
             28.782      0.55743805776   -0.0907787529217     0.234521124096                9.0     0.218824704317     0.185847141095    0.0368666134353
             29.133     0.277046996082      0.10117117518     0.252128018997               10.0     0.166263847625     0.115980872897    0.0332599669034
             29.484     0.119739984787   -0.0977334801316     0.202764354715               10.0     0.139036745473     0.107928565393    0.0447132921968
             29.835     0.186083362804   -0.0774447827379     0.159562683554               10.0     0.200904871211     0.145830564268    0.0481981343339
             30.186     0.307543125508   -0.0133743264824       0.1648429111                9.0    0.0787563663629     0.105757798513    0.0217869643759
             30.537    0.0795152239587    -0.157264342863     0.143376732148                9.0     0.155968220953     0.141731057778    0.0263813378685
             30.888     0.103360334472     0.050008829328     0.118832195751                9.0     0.160176149225     0.112901831935   0.00726362141839
             31.239     0.327741691976    -0.253759505217     0.134195504969                6.0     0.245132055004     0.196081316627    0.0259939033247
#-------------------------------------------------------------------------------------------------------------------------------------------------------
# reference_file: 05-ret.txt
# coord_unit: pxl
# protein: Sla1-GFP
# delta_t: 0.351
# std_ends: 3.46821425087
# experiment: ../../raw_trajectories/sac6_deletion/150303_MKY3060_ret
# notes: Sla1-GFP trajectory showing retraction, in the sac6 deletion strain.
