#             t (s)            x (pxl)            y (pxl)                  f                  n        x_err (pxl)        y_err (pxl)              f_err
             34.776    -0.851204013715    0.0345080502441     0.154411791914               18.0    0.0434021670631    0.0590824181195    0.0456404416372
            34.8805       -1.022854419    0.0819807840621     0.137429465805               20.0    0.0713770503493    0.0850090594621    0.0347844330986
             34.985    -0.888612008703  -0.00973717645642      0.22446745651               21.0    0.0378228115636    0.0604383370678    0.0539633821932
            35.0895    -0.986265787612    0.0130818900803     0.128165992969               28.0    0.0461020410253    0.0663221007192    0.0268838017582
             35.194    -0.945298962773     0.089943513485     0.163540904921               28.0    0.0510602862569    0.0524584407462    0.0341379885695
            35.2985    -0.936527469171    0.0381809609497     0.163774638403               29.0    0.0438460060995    0.0696999724382    0.0315641449288
             35.403    -0.929054501108     0.062370525379     0.196146695284               34.0     0.048203839512    0.0603593117426    0.0346157690918
            35.5075     -1.01226397767    0.0784042230329     0.224789731098               30.0    0.0450650053753    0.0421807837061    0.0453471701605
             35.612     -1.02104692815   -0.0389042254784     0.236898141865               40.0    0.0326792116923    0.0426832492111    0.0333613461708
            35.7165     -1.00590674373   -0.0149855614686     0.195117017776               43.0    0.0438106907405    0.0502191375804     0.032993103892
             35.821    -0.926039894159    0.0258107236582     0.252127601586               43.0    0.0361655962977     0.045019043017    0.0337929597116
            35.9255    -0.971809323173    0.0491859227521      0.23638866896               46.0    0.0325136287708    0.0395425893439    0.0284490782955
              36.03    -0.942372437411    0.0474051320556     0.260318556152               52.0    0.0323895789335     0.042766088589    0.0328477687891
            36.1345    -0.988009419533   -0.0188699426074     0.313688945171               52.0    0.0328992496115    0.0381851079875     0.032761850547
             36.239    -0.922049447318    0.0256048118837     0.321955205986               51.0    0.0269835041851    0.0363743472402    0.0226005249391
            36.3435    -0.927449039673    0.0262037259277     0.337103450501               53.0    0.0317479690961    0.0369082785693    0.0222155172636
             36.448    -0.922937501296    0.0583647431251     0.439353992719               53.0    0.0300839843028    0.0402243146351    0.0312443706885
            36.5525    -0.979169277473     0.034126792825     0.454289131072               52.0     0.029438773266    0.0381821373519    0.0206847819265
             36.657    -0.885856148641    0.0190911458905     0.468719277686               53.0    0.0313053350892    0.0336569590436    0.0287907158112
            36.7615    -0.979019427094    0.0127457056375     0.517457641008               55.0    0.0335761768114    0.0367723272143    0.0293126879523
             36.866    -0.911026499556   0.00134581381498     0.535262237183               57.0     0.028407732882    0.0324510038176    0.0279653977067
            36.9705    -0.907129414163    0.0580394350761     0.553309104938               53.0    0.0285338670993     0.032035292764    0.0280948560879
             37.075    -0.869547454089    0.0540121061492     0.606781059871               59.0    0.0273276920408    0.0308012404967    0.0288751009675
            37.1795      -0.8927744361   0.00840878679385     0.619902357114               59.0    0.0279958213471    0.0315517594803    0.0290040734018
             37.284    -0.919133006401    0.0405467198037     0.667584151853               57.0    0.0247597221911     0.030344436271    0.0183733329943
            37.3885    -0.897007703719    0.0308106436203     0.668665499306               58.0    0.0297492895396    0.0300364163278    0.0211307812587
             37.493    -0.934706939827    0.0435187302156     0.717004772533               59.0    0.0292725440047    0.0322911779461    0.0196397540535
            37.5975    -0.904347685209    0.0216849154011     0.705713897763               56.0    0.0251565934438    0.0298742782766    0.0192330421201
             37.702    -0.882282003131    0.0367133082183     0.725107891683               58.0    0.0241888811423     0.029820634666    0.0214862677212
            37.8065    -0.859839838893    0.0245554779708     0.769268699013               57.0     0.024307844489    0.0306703064974    0.0164859012968
             37.911    -0.844042231144    0.0507474884658     0.765210108534               60.0    0.0244754621743    0.0295096049222    0.0208176018012
            38.0155    -0.850338632264    0.0241977262912     0.800523977562               59.0    0.0229629259269    0.0284116425598    0.0173126806093
              38.12    -0.824788268522    0.0429778009608     0.833997696222               60.0    0.0235228302252    0.0270438408725    0.0193622011603
            38.2245    -0.826806520029    0.0043657008453     0.813989074497               57.0    0.0254557495601    0.0279986743575    0.0195904079189
             38.329    -0.806104814286    0.0314370512523     0.817376939081               57.0    0.0260685316091    0.0282882961993     0.022146831398
            38.4335    -0.815434561303    0.0275727094859     0.852415823466               53.0    0.0268098571928    0.0296882702697    0.0234539747083
             38.538    -0.764014804183    0.0434346020501     0.857657864482               59.0      0.02737999175    0.0275855702744    0.0207605312581
            38.6425    -0.690859119912     0.018221176274     0.839721044148               53.0    0.0349648294886    0.0280545532683     0.021659730935
             38.747    -0.612137048854    0.0320850849593     0.778708418393               57.0     0.045032080348    0.0289394906374    0.0266653444672
            38.8515    -0.442051574912     0.053842171286     0.779563492363               52.0    0.0567436947008    0.0348025449553    0.0270157491735
             38.956    -0.283793364376    0.0103306080084      0.69267825865               53.0    0.0543894916428     0.037054000799    0.0402979012791
            39.0605    -0.115651039413    0.0479444739281     0.584089300753               55.0    0.0457685511059    0.0413943757848    0.0345230914348
             39.165   -0.0597634373092    0.0601047617908     0.524376884005               52.0    0.0487183894609    0.0459576449163    0.0304691793506
            39.2695    0.0749836314833    0.0312887489704     0.380290912528               48.0    0.0444510148818    0.0430866740002     0.030848696782
             39.374     0.131950116639    0.0135988742227     0.374434452975               55.0    0.0488090362098    0.0491213506331    0.0230773536449
            39.4785     0.160758940134  -0.00180852053571     0.353607235003               54.0    0.0442929806981    0.0423800888743    0.0266487974801
             39.583     0.269188536725     0.063307792061     0.331648611868               53.0     0.040076311983    0.0511237676837    0.0212874457726
            39.6875     0.179009999155   -0.0764921715926      0.29498807209               50.0    0.0461564171747    0.0463769496358     0.020787036567
             39.792     0.220499835413  -0.00741197384167     0.214227798137               52.0    0.0446392518599    0.0509708955881    0.0147252235289
            39.8965     0.284186093193   -0.0136986112726     0.244233336332               52.0    0.0455191069728    0.0532733971217     0.026660806285
             40.001     0.326885577735   -0.0168122751764     0.216970997928               47.0    0.0560173505311    0.0612283751409     0.017926154036
            40.1055     0.202492073584    0.0778802810138     0.199381816688               49.0    0.0674569757068    0.0624390300568    0.0188945908449
              40.21     0.308538105054    0.0065103559782     0.189710820984               43.0    0.0747201983666    0.0683656267565    0.0165397859185
            40.3145     0.298802577653     0.123293279649     0.171725808066               48.0    0.0540038575822    0.0762760668568    0.0184209302985
             40.419     0.295230953691    0.0865215626776     0.183918000243               37.0    0.0730893738307    0.0697263037354     0.021448882197
            40.5235     0.468132408736   -0.0109684488705     0.190288650733               44.0    0.0743570594307    0.0754161656187    0.0192922940805
             40.628      0.22486032377    0.0439228754781     0.170572126668               40.0    0.0660099787453     0.073782452645    0.0168633894447
